model,split,label,accuracy,sensitivity,specificity,f1,auc,auprc,tp,fp,tn,fn
logistic_regression,train_inner,label_lipid_disorder,88.71,71.63,95.34,78.02,94.86,88.31,1709,286,5854,677
logistic_regression,train_inner,label_diabetes_current,95.33,90.62,97.8,93.03,99.01,98.21,2657,123,5471,275
logistic_regression,train_inner,label_hypertension_current,89.22,91.07,86.87,90.45,95.78,96.5,4352,492,3255,427
logistic_regression,train_inner,label_obesity_current,98.72,78.05,99.96,87.37,99.5,96.49,377,3,8040,106
logistic_regression,train_inner,label_cardio_next,91.14,92.13,90.09,91.5,97.07,97.08,4062,408,3709,347
logistic_regression,train_inner,label_kidney_next,88.0,82.38,92.29,85.6,95.09,93.96,3040,373,4463,650
logistic_regression,train_inner,label_stroke_next,96.62,43.31,99.95,60.11,98.67,89.07,217,4,8021,284
logistic_regression,train_inner,macro_avg,92.53,78.46,94.61,83.73,97.14,94.23,16414,1689,38813,2766
logistic_regression,val_inner,label_lipid_disorder,70.3,35.63,83.76,40.16,69.11,42.61,150,176,908,271
logistic_regression,val_inner,label_diabetes_current,84.25,75.61,89.05,77.41,90.76,86.66,406,106,862,131
logistic_regression,val_inner,label_hypertension_current,71.5,74.67,67.42,74.63,76.91,79.98,631,215,445,214
logistic_regression,val_inner,label_obesity_current,93.36,27.84,97.87,35.06,81.54,40.61,27,30,1378,70
logistic_regression,val_inner,label_cardio_next,76.81,76.87,76.75,77.02,84.22,84.48,585,173,571,176
logistic_regression,val_inner,label_kidney_next,70.7,60.96,78.81,65.41,75.86,73.2,417,174,647,267
logistic_regression,val_inner,label_stroke_next,93.95,8.75,98.74,13.33,68.09,17.59,7,18,1407,73
logistic_regression,val_inner,macro_avg,80.12,51.48,84.63,54.72,78.07,60.73,2223,892,6218,1202
logistic_regression,test,label_lipid_disorder,74.02,41.54,84.91,44.54,71.12,41.67,253,274,1542,356
logistic_regression,test,label_diabetes_current,80.87,68.46,86.75,69.71,87.93,81.33,534,218,1427,246
logistic_regression,test,label_hypertension_current,69.73,72.43,66.49,72.32,75.88,78.18,959,369,732,365
logistic_regression,test,label_obesity_current,94.14,24.8,97.91,30.39,77.62,22.23,31,48,2252,94
logistic_regression,test,label_cardio_next,75.13,75.71,74.54,75.56,82.68,83.1,932,304,890,299
logistic_regression,test,label_kidney_next,68.95,56.44,77.98,60.39,74.21,70.78,574,310,1098,443
logistic_regression,test,label_stroke_next,92.54,7.14,97.77,9.95,65.69,10.53,10,51,2234,130
logistic_regression,test,macro_avg,79.34,49.5,83.76,51.84,76.45,55.4,3293,1574,10175,1933
decision_tree,train_inner,label_lipid_disorder,99.98,99.92,100.0,99.96,100.0,100.0,2384,0,6140,2
decision_tree,train_inner,label_diabetes_current,100.0,100.0,100.0,100.0,100.0,100.0,2932,0,5594,0
decision_tree,train_inner,label_hypertension_current,100.0,100.0,100.0,100.0,100.0,100.0,4779,0,3747,0
decision_tree,train_inner,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,483,0,8043,0
decision_tree,train_inner,label_cardio_next,99.99,99.98,100.0,99.99,100.0,100.0,4408,0,4117,1
decision_tree,train_inner,label_kidney_next,99.98,99.95,100.0,99.97,100.0,100.0,3688,0,4836,2
decision_tree,train_inner,label_stroke_next,100.0,100.0,100.0,100.0,100.0,100.0,501,0,8025,0
decision_tree,train_inner,macro_avg,99.99,99.98,100.0,99.99,100.0,100.0,19175,0,40502,5
decision_tree,val_inner,label_lipid_disorder,66.58,39.43,77.12,39.76,58.13,32.83,166,248,836,255
decision_tree,val_inner,label_diabetes_current,77.61,67.97,82.95,68.42,75.46,58.24,365,165,803,172
decision_tree,val_inner,label_hypertension_current,65.78,68.76,61.97,69.29,65.36,65.56,581,251,409,264
decision_tree,val_inner,label_obesity_current,91.56,27.84,95.95,29.83,61.89,13.6,27,57,1351,70
decision_tree,val_inner,label_cardio_next,72.23,72.14,72.31,72.43,72.28,66.63,549,206,538,212
decision_tree,val_inner,label_kidney_next,66.38,61.7,70.28,62.52,65.93,56.55,422,244,577,262
decision_tree,val_inner,label_stroke_next,90.03,10.0,94.53,9.64,52.26,5.71,8,78,1347,72
decision_tree,val_inner,macro_avg,75.74,49.69,79.3,50.27,64.47,42.73,2118,1249,5861,1307
decision_tree,test,label_lipid_disorder,71.01,45.16,79.68,43.89,62.16,33.11,275,369,1447,334
decision_tree,test,label_diabetes_current,78.31,66.67,83.83,66.41,75.25,54.83,520,266,1379,260
decision_tree,test,label_hypertension_current,67.46,71.45,62.67,70.57,67.06,65.4,946,411,690,378
